Technology,Date,reference_capacity_MW,load_factor,fuel_effeciency,operating_lifetime,pre-development_cost_low,pre-development_cost_medium,pre-development_cost_low_high,Pre-development period,construction_cost_low,construction_cost_medium,construction_cost_high,Construction_period,total_construction_period,Infrastructure,infrastructure_per_kW,fixed_maintenance_costs,variable_maintenance,Insurance,connection_costs,Hurdle Rate,capacity_increase_factor
CCGT,2025,1200,0.93,0.53,25,10,10,20,2,400,600,700,3,5,16100,13.41666667,13100,4,2200,3500,0.075,1.006910838
CCGT,2030,1200,0.93,0.53,25,10,10,20,2,400,600,700,3,5,16100,13.41666667,13100,4,2200,3500,0.075,1.006910838
CCGT,2035,1200,0.93,0.53,25,10,10,20,2,400,600,700,3,5,16100,13.41666667,13100,4,2200,3500,0.075,1.006910838
CCGT,2040,1200,0.93,0.53,25,10,10,20,2,400,600,700,3,5,16100,13.41666667,13100,4,2200,3500,0.075,1.006910838
wind_onshore,2025,51,0.34,1,25,40,120,200,4,900,1000,1100,2,6,3500,68.62745098,23500,6,1600,4100,0.052,1.33506125
wind_onshore,2030,51,0.34,1,25,40,120,200,4,800,1000,1100,2,6,3500,68.62745098,23500,6,1600,4400,0.052,1.33506125
wind_onshore,2035,51,0.34,1,25,40,120,200,4,800,900,1100,2,6,3500,68.62745098,23500,6,1600,4800,0.052,1.33506125
wind_onshore,2040,51,0.34,1,25,40,120,200,4,800,900,1000,2,6,3500,68.62745098,23500,6,1600,5100,0.052,1.33506125
wind_offshore,2025,1000,0.51,1,30,60,130,200,5,1300,1500,1700,2,7,344800,344.8,36300,3,2800,56800,0.063,1.004493757
wind_offshore,2030,1000,0.57,1,30,60,130,200,5,1100,1300,1400,2,7,344800,344.8,28000,3,2700,61800,0.063,1.004493757
wind_offshore,2035,1000,0.6,1,30,60,130,200,5,1000,1100,1300,2,7,344800,344.8,24500,3,2700,65100,0.063,1.004493757
wind_offshore,2040,1000,0.63,1,30,60,130,200,5,900,1100,1200,2,7,344800,344.8,22500,3,2700,68900,0.063,1.004493757
solar,2025,16,0.11,1,25,10,50,120,1,400,400,500,0,1,1300,81.25,6700,0,1900,1600,0.05,2.97139886
solar,2030,16,0.11,1,25,10,50,120,1,300,400,400,0,1,1300,81.25,6400,0,1800,1600,0.05,2.97139886
solar,2035,16,0.11,1,25,10,50,120,1,300,300,300,0,1,1300,81.25,6000,0,1700,1600,0.05,2.97139886
solar,2040,16,0.11,1,25,10,50,120,1,200,300,300,0,1,1300,81.25,5700,0,1600,1600,0.05,2.97139886
hydro,2025,516,0.35,1,41,40,60,320,2,1700,3200,3300,2,4,0,0,48100,6,0,0,0.054,1.291320382
hydro,2030,516,0.35,1,41,40,60,320,2,1700,3200,3300,2,4,0,0,48100,6,0,0,0.054,1.291320382
hydro,2035,516,0.35,1,41,40,60,320,2,1700,3200,3300,2,4,0,0,48100,6,0,0,0.054,1.291320382
hydro,2040,516,0.35,1,41,40,60,320,2,1700,3200,3300,2,4,0,0,48100,6,0,0,0.054,1.291320382
nuclear,2025,3300,0.902266889,1,60,110,240,640,5,3700,4100,5100,8,13,11500,3.484848485,72900,5,10000,500,0,1
coal,2025,733.8153487,0.908119452,0.38,25,40,60,80,5,2100,2600,3400,5,10,10000,13.62740643,56400,3,9300,3500,0.075,1
bioenergy,2025,23,0.84,0.29,25,90,120,170,3,2500,3000,3500,2,5,500,21.73913043,69900,9,12300,13800,0.079,2.23263607
fossil_fuel,2025,625,0.93,0.35,25,20,20,30,2,300,300,300,2,4,16100,25.76,4900,4,1200,2500,0.071,3.57936838
